article;lang
ξεκίνησα ν εγροικώ nό τι ας εμέτερο τη;pontic
γλώσσα και εξέθε έτον nκαι αλέτερο;pontic
γλώσσα ντ ουκ εγροίκενα nεγώ Είπε με και;pontic
ότι όνταν πάγω nσ οκουλί σχολείο;pontic
εβρισκούτουν ελίγο nέξου ασό χωρίο εκεί;pontic
να μαθάνω ατό τη nγλώσσα για να εγροικώ;pontic
και συντύχαινα;pontic
Αρνάσεψα σ οκούλι;pontic
Άετς εδέβαν τα χρόνε και έρθεν η ημέρα;pontic
nεγώ παλ επήγα σ οκούλι σχολείο και;pontic
nαρνάσεψα να μαθάνω τα τούρκικα Ο κύρη μ;pontic
nκαι η μάνα μ είπανε με αν μαθάνω καλά nτα;pontic
τούρκικα να είνωμαι τρανός άνθρεπος;pontic
nκαι να γαζανεύω πολλά παράδες Αν ουκ;pontic
nεμάθενα καλά τούρκικα ν επόμενα σο;pontic
nχωρίο και να ογράσσευα με του χωρίου τα;pontic
nδουλείας Να λίχτρεβα τα χωράφε νε;pontic
nκεϊρόκοφτα ν έπλωνα και εσώρευα;pontic
nχορτάρε νε επέγνα έκοφτα και εποίνα;pontic
nξύλα ασό όρος και εφέρενα τα σο σπίτι;pontic
nΑν ουκ εμάθενα τα τούρκικα άϊτικα και;pontic
nάλλα πολλά δουλείας ν εποίνα;pontic
Πάντα κρούει σο νου μ την ημέρα πε;pontic
nαρνάσεψα σ οκούλι Έτον ένας ξένος;pontic
nάνθρεπος ο οποίος τ όνεμαν ατ έτονε;pontic
nογρετμένος δάσκαλος Εκείνο την ημέρα;pontic
nόντα εκάτσαμε σα σκαμνία μουνα nεκείνος;pontic
εδέβαιν εμπρό μουν και nαρνάσεψεν κάτι;pontic
να λέει μας το εγώ ουκ nεγροίκενα Πίχτα;pontic
πίχτα ερώταινα τ άλλα nτα παιδία και;pontic
εκείνοι παλ έλεγανε με το nέλεγεν Έλεγε;pontic
μας για να μαθέναμε καλά nτούρκικα άλλο;pontic
τα ρωμεϊκά ουκ ν εσυντυχαίναμ nΕφοβέρισε;pontic
μας πα Όποιος εσυντύχαινεν nάλλο τα;pontic
Ρωμεϊκά νε δαρκούτουν Άμα nποίος ν;pontic
ακούεν ατόνα τον ξένο Εμείς nόνταν;pontic
εγβαίναμε έξου πάλι ρωμεϊκά nεσυντύχαιναμ;pontic
και άετς επόρεναμ και nεγροίκεναμ ο εις;pontic
τον άλλον για nν επαίζαμ;pontic
Εφάγαμ νταγιάχι ξυλοδαρμό για τα;pontic
nΡωμεϊκά;pontic
Κρούει σο νου μ παλ έναν ημέρα έτον;pontic
nεξέβαμε έξου ασ οκούλι και αρνάσεψαμ;pontic
nνα παίζουμε Εγώ εβόησα πολλά αψέα έναν;pontic
nαρκαντάσι μ φίλο μου και κάτι είπα n;pontic
τόνα σα Ρωμεϊκά Έκουσε με ο ογρετμένος;pontic
nκαι εβόησε με κοντάν ατ Επήγα εστάθα;pontic
nεμπρόν ατ και ετέρεσ ατόνα σον πρόσωπόν;pontic
nατ Ελίγο έσουρεν τ ωτία μ και ετίλισε;pontic
nμε έναν βαρύ σαπλάχεα Ας τόσον πολλά nασ;pontic
ομάτε μ τσίγιας ελάνκεψαν Σίτα;pontic
nεδέκρεσα Τ άλλα τα γαρδέλε εστάθαν και;pontic
nεμάς ετέρεναν Ύσταρο εγώ εφήκα το;pontic
nπαίξιμο Άλλο ουκ επόρεσα παιξίναι;pontic
nΕδέβα σ έναν τσουντζί εκάτσα κά και;pontic
nέκλαψα Άετς εδέβανε τα χρόνε σ οκούλι;pontic
nΓια τα Ρωμεϊκά ποιος ουκε δάρθεν Ούλιν;pontic
nέφαγαν σαπλαχέας μουστέας και λαχτέας;pontic
nΠολλοί απ εμάς πολλά επερμίναν επάν σε;pontic
nέναν ποδάρι ως που να εγέρουν;pontic
Όμορφα ημέρας πα είχαμε;pontic
Σο χωρίο όμορφα ημέρας πα εδέβαξαμ nΈρτε;pontic
σ αχύλι μ που έναν ημέρα πριν να nημέρωσε;pontic
έτον η μάνα μ αλήγορα εσκώθεν nκαι;pontic
εκατήβεν σο μαντρί για ν εποίνεν τα;pontic
nδουλείας ατές Εγώ απές σο ζεστό το;pontic
nστρώμα μ εκοιμούμουν και ελέπα όμορφα;pontic
nόνειρα Με τα λαλίας τση μάνα μ nεξυμνήγα;pontic
Στα ε διαβολόφαγο μη nλαχτίζεις και;pontic
κουπίζεις ατό τ έλμεξα nέλεγεν τ αγελάδι;pontic
τ ελάχτιζεν σατή nαλμέχκουτουν και πότα;pontic
πούλι μ πότα nέλεγεν το μουσκάρι τ ουκ;pontic
εθέλενεν ν nέπινεν το νερόν εθέ Άετς;pontic
έλμεξεν nεφάισεν επότισεν εσπούνκισεν;pontic
και nεξέβεν άνου Η μάνα μ εθάρενεν ότι;pontic
εγώ nακόμε κοιμούμουνε Ουκ εθέλενεν ν;pontic
nεξύμνιζε με άμα εγώ τ ώραν έτον τ;pontic
nεξυμνίγα Εξυμνίγα άμα ασο στρώμα μ nπα;pontic
ουκ εξέβα Άετς τυλιγμένος σο nγεργάνι;pontic
επουκά επέρμενα η μάνα μ ν nεγβαίν ασό;pontic
σπίτι και επ εκεί ν εσκούμουν nΟυκ;pontic
εθέλενα ν έλεπε με έξυμνος και nεδώνε με;pontic
οσπιτί δουλείας Είχα σο νου μ nν επέγνα;pontic
σο πορπάτεμα και σο παίξιμο με nτα;pontic
γαρδέλε του χωρίου;pontic
Η μάνα μ εξέβεν ασό σπίτι επήγεν σα;pontic
nχορτάρε το κόψιμο Εγώ παλ ελίγο;pontic
nυσταροκές απ οπίσαν ατές εσκώθα;pontic
nεφόρεσα και γάλε γάλε ελίγο άνοιξα την;pontic
nπόρτα Ετσούτισα και ετέρεσα εθέλενα nν;pontic
ελέπα η μάνα μ επήγεν για ουκ επήγεν;pontic
nΆετς σατή ετσούτιζα και ετέρενα;pontic
nεπλανμέρίκα σο δρόμο είδα την αγάπη μ;pontic
nτη σεβντά μ Με κάτι πατσίδε και νιφάδε;pontic
nτου χωρίου εκείνε πα ες επέγνεν σ nόρος;pontic
για τα χορτάρε Ασή χαρά μ επέταξα nΆλλο;pontic
ποίος επορεί και κρατεί με Άλλο nποίος;pontic
πάει σο παίξιμο με τα γαρδέλε του;pontic
nχωρίου Πριν φανείναι χνούδι και θρύμα;pontic
nεγώ πα εξέβα ασό σπίτι και εσέβα σο;pontic
nδρόμο Τρεχτά επήγα έφτασα τινους nΆετς;pontic
με τ εκεινούς εντάμα παρακαθέυτα;pontic
nεφτάσαμε σ όρος Εκεί ούλοι εσκορπίγανε;pontic
nαδά καi ακεί για νε σωρεύαν χορτάρε;pontic
Εγώ επόμεινα με τη σεβντά μ εντάμα;pontic
nΕκείνε σατή έκοφτεν χορτάρε εγώ πα;pontic
nεδέβα σα χαμοκέρας σα μαμίκας μήλα και;pontic
nσα δίρκαπας τ αράεμα Ό τι εσώρευα σίτα;pontic
nέρχουμουν εμοίρεζα τα με την αγάπη μ;pontic
nεντάμα Ύσταρο όνταν εγέντον μεσημέρι;pontic
nούλοι εσωρέφταμε σε έναν ίσο μέρος τ;pontic
nεφήκαμε τα δαπάνας μουνα Απ εμέν και;pontic
nεξέθε ούλιν ασα ξεροφάε τουνα κάτι;pontic
nένκανε εντάμα Εγώ ασήν χαρά μ τη nδαπάνα;pontic
παλ ενέσπαλλα Θρύμμα ψωμί nχνούδι φαγί;pontic
ουκ επήρα εντάμα μ Άμα ο nκάθα εις ασή;pontic
δαπάνα το είχεν απ ελίγο nεμοίρεξεν και;pontic
εδώκε με και έφαγα nΎσταρο παλ ούλι;pontic
εδέβαμε σα δουλείας n μουνα Εγώ εποίκα;pontic
γιαρτιμί βοήθια τη nσεβντά μ Εσώρεψα;pontic
Χαλβάνε Ματσιτάλε nΚουσούτε Λάπαζα;pontic
Καρενέσε Γλυκόριζας nΣαλούτε Πεντικολαθιρίτρας;pontic
και αϊτίκα nΕμείς με την αγάπη μ εντάμα;pontic
προφτάσαμε nκαι ασ ουλουνούς εμπρό;pontic
εποίκαμε το nγομάρι μουνα και εδέβαμε;pontic
επλάν nεκάτσαμε Ύσταρο ομόν τ εγομάρεγαν;pontic
nούλι εσέβαμε σο δρόμο για τ οσπίτε n;pontic
μουνα;pontic
Εξέβαμε σο γκουρμπέτι ξενιτιά;pontic
Εδέβανε τα χρόνε και εγώ ετράνινα Εδέβα;pontic
nκαι επήγα σο γκουρμπέτι ξενιτιά Εκεκά;pontic
nούλιν οι άνθρωποι μαναχό τούρκικα;pontic
nεξέρναν και εσυντύχαιναν Εμείς πα με;pontic
nτα ελίγα τα τούρκικα που έξερναμ;pontic
nογράσευαμ προσπαθούσαμε νε συντύχαιναμ;pontic
nμε τ εκεινούς Εμείς πα έμουνες πολλοί;pontic
nασ έναν χωρίο και νάμεσα μουνα Ρωμεϊκά;pontic
nεσυντύχαιναμ Άμα ακόμε έρτε σ αχύλι μ n;pontic
σο νου μ λαγά έκρυβαμ τα Ρωμεϊκά nασ;pontic
αλλουνούς Όνταν ερώτεναν εμάς τό;pontic
nγλώσσα εν ατό ντο συντυχαίνουμ έλεγαμ;pontic
nατίνους ότι λαζικά συντυχαίνουμε;pontic
nΕτότες τίπο άλλου ουκ ερώτεναν εμάς και;pontic
nάετς εγλύτωναμ Ούλι αέτς εκρύφκουμουνες;pontic
nκαι αέτς εκρύβαμ και τη γλώσσα μουνα;pontic
nΛες κι έτονε εντροπή αν έλεγαμ ότι;pontic
nσυντυχαίνουμ Ρωμεϊκά Γι ατό ποίο;pontic
nεκρύφκουμουνες ουκ εγροίκενα Όσο και;pontic
nαν κρύφκουμουνες σο γκουρμπέτι σην;pontic
nξενιτιά όπου αν επέγναμε εράευαμ nτ;pontic
εμέτερους ανθρώπους για ν επόρεναμ nκαι;pontic
έβρισκαμ καλύτερα δουλείας και nν;pontic
επόρεναμ και εδέβαζαμ και ελίγο τη;pontic
nγαριπία αροθυμία τ εσούρεναμ;pontic
Επήγα σ ασκέρι στο στρατό;pontic
Όνταν έρθεν η ημέρα και επήγα σ ασκέρι;pontic
nεκεκά πα εράεψα πολλά για ν έβρισκα;pontic
nκανέναν ασά χωρία μουνα για νε;pontic
nσυντύχαινα τη γλώσσα μ Όσο ερώτεσα;pontic
nκανείς ουκ εβρέθεν Έναν ημέρα έβρα;pontic
nέναν το έξερνεν ένα αλέτερο γλώσσα;pontic
nΕρώτεσα τόνα ασήν γλώσσαν ατ και;pontic
nεθέλεσα επ εκεί να λέει με κάτι ση;pontic
nγλώσσαν ατ Αρνάσεψεν να λέει με κάτι σε;pontic
nέναν γλώσσα το εμνέζενεν πολλά με τε;pontic
nμέτερα τα Ρωμεϊκά Ερώτεσα τονα το;pontic
nγλώσσα εν ατό ντο συντυχαίν Είπε με nότι;pontic
σο χωρίον ατ λέγουνα Μουχατζίρκικα n;pontic
προσφυγικά Όνταν εκλώστα και είπα n τονα;pontic
ότι η γλώσσα ντο συντυχαίν εν nΡωμεϊκά;pontic
επαλαλώθεν Ύσταρο και nεσυντύχαισαμ;pontic
πολλά επάν ση γλώσσα n μουνα και;pontic
εγροικέσαμ ότι συντυχαίνουμε nένα;pontic
γλώσσα και οι δύοιν πα κρύβουμα με nτα;pontic
αλέτερα τα ονέματα;pontic
Επήγα σην Λιμπύα Λιβύη με τον κύρη nμ;pontic
Ο κύρη μ εδούλευεν ση Λιμπύα και έναν;pontic
nημέρα εξέβεν και έρθεν Έγω έμουν σο;pontic
nγκουρμπέτι ξενιτιά Εποίκανε με;pontic
nτελεφώνι και εκλώστα σο χωρίο Έρθεν nν;pontic
επαίρενε με και επέγνεν ση Λιμπύα nΠολλά;pontic
εχάρινα Ν έγβγαινα έξου ασήν nΤουρκία;pontic
και νε γαζάνεβα κέρδιζα και nάλλο πολλά;pontic
χρήματα Αέτς έρθεν η ημέρα nκαι επήγαμε;pontic
ση Λιμπύα Εμέναμε ση nΝτέρνα Εκεί;pontic
αδουλεύαμε με τον κύρη μ nεντάμα Έχτιζαμ;pontic
ντουβάρε και εποίναμε nσουβά Όλον εμπρό;pontic
όνταν επήγαμε ο κύρη nμ εξέρνεν πολλά;pontic
Αράπτσε αραβικά το εγώ nουκ εγροίκενα;pontic
Εγώ όσο και αν επήγα σ nοκούλι και έμαθα;pontic
καλά την Αράπσε όνταν nέμουνε σην;pontic
Τουρκία ατά τ εσυντύχαιναμ nση Λίμπυα;pontic
ουκ εγροικίσκουσαν Ύσταρο nκες έρθα και;pontic
τον κύρη μ εδέβα;pontic
Έναν ημέρα σατή εδέβαινα ασ έναν nτικανί;pontic
μαγαζί εμπρό έκουσα να λέει nκάποιος;pontic
κλειδί Εκλώστα και ετέρεσα nΕίδα έναν;pontic
υναίκα να δίγει το κλειδί σε nέναν;pontic
άγουρο Είπα απ απέσα μ να ακούγω nκλειδί;pontic
και ν ελέπω κλειδί κάτι ίνεται nΕλίγο;pontic
επέρμινα ορθά εκεκά που έμουν nΎσταρο;pontic
κες ομόν τ επ εχωρίεν η υναίκα nεπ εκεκά;pontic
επήγα ερώτεσα εκείνο τον nάγουρο Έκουσα;pontic
κλειδί και είδα κλειδί nγιάνλισε λάθος;pontic
είδα γιαμ εσείς πα nεξέρειτε Ρωμεϊκά;pontic
Εκείνος πα ερώτεσε nμε εσύ απόθεν;pontic
εξέρεις το κλειδί nΑέτς αρνασέψαμε να;pontic
συντυχαίνουμε σα nΡωμεϊκά όσο επόρεσαμ;pontic
Ελίγα απ ατά nτ έλεγεν ουκ εγροίκενα πα;pontic
αμα ας έν nΈφτανε με ατό τ εσυντύχαινεν η;pontic
γλώσσα nεμνέζενεν πολλά σε μέτερα τα;pontic
Ρωμεϊκά nΕγώ ασή χαρά μ επέταξα Εκείνος;pontic
πα nπολλά εχάρινεν Αέτς εγνωρίγαμε nΤ;pontic
εκεινού τ όνεμα έτονε Σαλάχ Αλί;pontic
Ύσταρο έναν ημέρα σατή εδέβαινα ασό;pontic
nτικανίν μαγαζί ατ εμπρό πάλι είδε με;pontic
nκαι ελίγο εσυντύχαισαμ Ο Σαλάχ Αλίς;pontic
nελάλεσε με σ οσπίτιν ατ Εδώκε με έναν;pontic
nαντρέσι διεύθυνση που ν επέγνα και;pontic
nέναν ημέρα το ν επέρμενε με Όνταν έρθεν;pontic
nεκείνο η ημέρα εγώ πα επήγα σ αντρέσι nτ;pontic
εδώκε με Όνταν έφτασα εντόκα σην nπόρταν;pontic
ατ εκείνος ένοιξεν την πόρτα nΑπές σο;pontic
σαλώνι εσώρεψεν πολλούς nανθρώπους;pontic
Μαμικάντοι παπουκάντοι nπαιδία πατσίδε;pontic
ούλιν έκλωσαν τον nπρόσωπον άτουνα σε;pontic
μένα μερ και εμένα nετέρεναν Εμείς ελίγο;pontic
εστάθαμε σο nκατουθούρι έπαν Ο Σαλάχ;pontic
Αλής εκράτεσε nμε ασ έναν ωμί μ γάλε γάλε;pontic
έγκεν το nχέριν ατ σην κοτύλα μ και μισό;pontic
nεγκαλεστά ερώτεσεν ση μισαφίρους ατ;pontic
nσην Αράπτσε εμνέζει μας αβούτο το;pontic
nπαιδί Ούλιν εκούνισαν τα κεφάλε n τουνα;pontic
και ναι πολλά εμνέζει μας nείπανε Ύσταρο;pontic
εδέβαμε σο σαλόνι και nεγώ εκάτσα κα σε;pontic
έναν κεκά Κάτι γραίοι nκαι γέροι έρθαν;pontic
σο γιάνι κοντά μ nεγκαλέσταν και;pontic
εφίλεσάνε με Ερώτεσανε nμε τ όνεμα μ και;pontic
απόθεν είμαι Ούλιν nεθέλεναν ν εσυντύχαιναν;pontic
με τ εμένα nΟύλοι κάτι εθέλεναν ν;pontic
ερώτενανε με Άμα nέσανε πολλοί και με;pontic
κάποιους επόρεσα nκαι με κάποιους ουκ;pontic
επόρεσα συντυχαισείναι nΎσταρο επ;pontic
εκεινούς εγνώρισα πολλούς nΟύλιν το;pontic
έξερναν και εσυντύχαιναν nΡωμεϊκά έσανε;pontic
ασοί τρανούς ανθρώπους nτση Ντέρνας;pontic
Ούλοι εχουγεμένοι n σπουδαζμένοι;pontic
δεβαζμένοι έσαν Ο nτρανός αδελφός του;pontic
Σαλάχ Αλή έλεγαν nατόνα Σαλάχ Αχμέτ;pontic
Σαλάχ έκουεν ο κύρης nάτουνα Ο Σαλάχ;pontic
Αχμέτης έτονε όλων ο nτρανύτερος σον;pontic
πόλης αστυνομία τση nΝτέρνας;pontic
Πάντα κρούει σο νου μ και ουκ ανεσπάλλω;pontic
nέναν ημέρα έτον επήγανε κάποιοι;pontic
nΛιμπυαλίδες επάτεσανε το σπίτι του;pontic
nΚαντάφι και εθέλεναν ν εσκότωναν ατόνα;pontic
nΟυκ επόρεσαν και ούλιν εδάρθαν Σε;pontic
nεκείνα τα ημέρας κανέν ουκ εφήνανε το;pontic
nβράδυ την νύχτα ν έγβαινεν έξου και;pontic
nπορπάτενεν όμον τ εθέλενεν Όποιον;pontic
nεβρίσκανε έξου έπλεναν εφέρεναν ατόνα;pontic
nσον πόλης αστυνομία και αν έτον ξένος;pontic
nχαρτία πα αν είχεν ελιτόρευαν ατόνα;pontic
nασην Λιμπύα Επ εκείνα τα ημέρας έναν;pontic
nημέρα επήγα σ έναν χορότε το είχαμε σην;pontic
nΝτέρνα Επήγα για το παρακάθεμα;pontic
nΕκάτσαμε κα και σατή επαρακθέυαμε;pontic
nεβραδέσαμε Αργά το βράδυ εξέβα έξου;pontic
nκαι ες επέγνα σο σπίτι Σατή επέγνα nσ;pontic
εναν και κα ο πολίσης αστυνομικός;pontic
nεστάισε και ερώτεσε με τα χαρτία μ;pontic
nΕπάνε μ τίπο ουκ είχα Επήραν ένκανε με;pontic
nσο καρακόλι Αστυνομικό τμήμα Εκεί σο;pontic
nσαλώνι έπεη αρκετά επέρμεινα Έξερνα;pontic
nότι σε εκείνα τα ημέρας ο Σαλάχ Αχμέτης;pontic
nουκ έτον εκεί Επόλισαν ατόνα σο;pontic
nΒενγκάζη και σην Ντέρνε ένκανε έναν;pontic
nαλέτερο το έτον σο κεφάλι του πόλις n;pontic
αστυνομίας Άμα απ απέσαμ για ας πάγω;pontic
nδίγω το όνεμάν ατ και ας τερούμε το να;pontic
nίνεται είπα Αέτς εσκώθα και επήγα;pontic
nερώτεσα τον Σαλάχ Αχμέτ Όνταν έκουσαν;pontic
nτο όνεμαν ατ ερωτέσανε με απόθεν;pontic
nεγνωρίζ ατόνα Είπα τίνους ότι nεγνωρίγουμες;pontic
καλά και πάγω και nσ οσπίτιν ατ Σίτα;pontic
αμέσως εποίκανε nτελεφώνι τον Σαλάχ;pontic
Αχμέτ και είπαν nατόνα αέτς και αέτς Το;pontic
είπεν ατίνους nουκ εξέρω Άλλο μία;pontic
ετέρεσα οι πολισοί nεπήρανε άψιμο Σίτα;pontic
αμέσως ένκανε σην nπόρτα και κα έναν;pontic
τζιπί jeep και εβάλανε nμε απές και;pontic
εσέβαμε σο δρόμο Σατή nεπέγναμε είπανε;pontic
με να δίχν ατινούς το nδρόμο του σπίτι;pontic
που έμενα Αέτς έγκανε nμε σο σπίτι Όνταν;pontic
εντόκαμε σην πόρτα ο nκύρη μ άνοιξε την;pontic
πόρτα και όνταν είδεν nτσοι πολίσους;pontic
εμπρόν ατ εσπάραγεν nΕθάρεσεν έρθανε ν;pontic
επέρουνε μας και nσύρουνε μας έξου Οι;pontic
πολίσοι είπαν nατόνα αβούτο τον παίδα σο;pontic
δρόμο nεύραμε άσκεμα ημέρας δεβάζουμε;pontic
άλλο nμην αφήνεις ατόνα να πορπατίει τη;pontic
nνύχτα Αέτς εβάλανε με απές και;pontic
nεποχωρίγανε Ο κύρη μ πα ελίγο ετάβισε;pontic
nμε άμα έτον χαρέμενος πα;pontic
Όνταν έμουνες ση Λίμπυα εγώ αϋναίκιγος n;pontic
ανύπαντρος έμουν Εκεκά ασή Ρωμαίους;pontic
nτση Ντέρνας εγνώρισα και αγάπεσα έναν;pontic
nπατσή πα Τ όνεμαν ατές Σελβά έτον Με;pontic
nτην Σελβά έπεη σεβνταλούχε εποίκαμ Με;pontic
nτ εκείνενα εντάμα όμορφα ημέρας;pontic
nεδέβασαμ και όμορφα παρακάθε nεποίκαμ;pontic
Ύσταρο ας τη εκλώστα σην nΤουρκία άλλο;pontic
ουκ επόρεσα πανείναι σην nΛιμπύα Ας τόσο;pontic
αγάπεσα τενα τ όνεμαν nατές εδώκα το τσ;pontic
αδελφής μου την πατσή nΑρ η ανεψιά μ πα;pontic
Σέλβα ακούει;pontic
Εκλώστα σην Τουρκία και πήγα σην;pontic
nΑντάλια σο κουρμπέτι για ξενιτιά;pontic
Με τον κύρη μ εντάμα όντα εποχωρίγαμε;pontic
nασή Λιμπύα και έρθαμε σην Τουρκία εγώ;pontic
nεδέβα σην Αντάλια για τη δουλεία Εκεκά;pontic
nεπήγα αρνάσεψα ση δουλεία σε έναν οτέλι;pontic
n ξενοδοχείο Έμουνε σο ρεσεψιόνι Έναν;pontic
nημέρα εύρα και εγνωρίγα με τ έναν παιδά;pontic
nτ εδούλευεν και εκείνος πα σε ένα;pontic
nαλέτερο οτέλι Είπε με ότι κάπου κάπου;pontic
nέρχουντανε τουρίστοι ασό Γιουνανιστάνι;pontic
nΕγώ πολλά εθέλενα ν έβρισκα κάποιον;pontic
nάνθρεπο ασό Γιουνανιστάνι και ερώτενα;pontic
nατόνα ασή γλώσσα μ ασά Ρωμεϊκά απ εμάς;pontic
nτ επόμεινανε οπίς Εθέλενα νε μάθενα;pontic
nποιοί είμεστ και πόσο τα Ρωμεϊκά;pontic
nεμνέζουν με τη Γιουνάντζε ελληνικά;pontic
nΠάντα μεράχι είχα το Για τ ατό είπα;pontic
nεκείνο τον παιδά ν εφτάει με ένα;pontic
nτελεφώνι αλλομία όνταν έρχουσαν;pontic
nτουρίστοι ασό Γιουνανιστάνι Αέτς;pontic
nεποχωρίγαμε;pontic
Αέτς εδέβανε καντρία ημέρας Έναν ημέρα;pontic
nτ ουκ είχα βάρδιε αλήγορα εσκώθα άμα;pontic
nπούθεν ουκ επήγα για το πορπάτεμα;pontic
nΕδέβα εκάτσα κά σε έναν τσουντζί n γωνιά;pontic
του οτελί Επλέσε με έναν τρανό nγαριπία;pontic
Εγαριπέφτα το χωρίο μ τ ορμία nτα ποτάμε;pontic
τα παρχάρε ούλα ό τι είχεν ο nχωρίος μου;pontic
Απέσα μ αρνάσεψεν έναν τρανό φουρτουνάς;pontic
nτο οποίο ουκ επόρεσεν εινείναι δάκρε;pontic
nκαι εγβείναι ασ ομάτε μ μόνο τ οματοτσάτσε;pontic
nμ εβρέξεν Ούλο τ άλλο εκλώστεν nεγέντον;pontic
ίδρωμα και ετσόρτισεν ασό πηχτό nκαι;pontic
ψηλοτριπεμένο το πετσί μ Ούκ nεθέλενα ν;pontic
έκουγα τα πολλά τα λαλίας ασοί nξένους;pontic
ανθρώπους τ εκλωτηογυρίγουσαν nολόγερα;pontic
μ ουκ εθέλενα ν έκουγα nτ αραπάδες τε;pontic
φούσκωναν το κεφάλι μ ουκ nεθέλενα ν;pontic
