article;lang
κίν τσιν για του Γκλίγκουβου Κατα του μισ μέρ έφτασιν στ Βίγλα σην κουρφή κι;nothern
ξιφόρτουσιν του ζαλίκ Τουν βάρισιν ου κρέχτους αέρας ιέκατσιν καμιά ώρα σ ;nothern
έναν ίσκιου κι αγνάντιβιν πότι κατα τ Λάρσα πότι κατα ν Κόζιαν ;nothern
Άμα ξιαπόστασιν ψίχα σ κώθκιν πάλι να κινήσ κι τότι θυμήθκιν αυτά πούλιγιν;nothern
απτιδώ πρίν κάνα δυό μέρις όταν κατέβινιν μι ν παρέα τ Σταμάτσιν ιτότι γύρσιν;nothern
μιάφρα κατα τ Λάρσα σήκουσιν τα χέρια σιαπάν κι χίρσιν να μουτζών κι να λέει ;nothern
Νά Βιράνγκ Θισσαλία Φουτιά κι λάβρα να σι κάψ Μας λύσσιαξις απου νιρό;nothern
κι απου ζέστα τόσις μέρις ;nothern
Γύρσιν ύστρα κατα ν Κόζιαν κι είπιν ;nothern
Ιδώ βρέ τήρατι αέρας κι δρουσιά πρασ νάδα κι ρέχα Να πααίν σην ψ χή σ ;nothern
Βλουημέν Μακιδουνία ;nothern
Στουν κάμπου η παρέα θέρζιν κάθι μέρα ώσπου σι μιά βδουμάδα τάσουσαν όλα;nothern
τα χουράφια απ του χουριό κι κίν τσαν να πααίν ν κουντά στουν Βόλου σ άλλου;nothern
ένα χουριό γιατι ήρθιν ένας νοικουκύρς κι συμφών τσαν να θιρίσν κι ικεί ;nothern
Ήταν Σαββάτου βράδ άμα έφτασαν στου μέρους που συμφών τσαν για να;nothern
κινήσν ν Κυριακή να θιρίζν αλλα απ του χουριό τς έστειλαν χαμπάρ να μή δλέψν;nothern
 ν Κυριακή γιατι γιόρταζιν η ικκλησιά ;nothern
 Ν Κυριακή τ χαραή όπους κάθουνταν όξου απ του χουριό πιτάθκιν ένας;nothern
απου ν παρέα ου Λάζους κι τς είπιν ;nothern
 Όι κάθουμέστι κι απ κάθουμέστι δέν πααίνουμι ώς τουν Βόλου Κουντά είνι ;nothern
Να κάμουμι ψίχα σιργιάν τ θάλασσα κι τα πλοία ;nothern
 Πααίνουμι είπαν όλ κι κίν τσαν ;nothern
Σέφκαν τς πουδαριάς στουν Βόλου πέρασαν τα πρώτα σπίτια κι έφτασαν σν;nothern
άκρα π τ θάλασσα πούταν διμένα τα καΐκια μι φουρτώματα χουντρά κι λιανά ;nothern
Χαμάλδις φόρτουναν κι ξιφόρτουναν πράγματα Φουνές κακό κι λάβα τρανή ;nothern
ουόλους ου κόσμους σάν του μιλίσσ ν ανιβαίν κι να κατιβαίν πατιούντας στα;nothern
σάλια μαδέρια που η μιά άκρα ακουμπούσιν στου καΐκ κι η άλλην στη γής ;nothern
Τα λεγόμενα Παλιά του Βόλου ;nothern
 5 ;nothern
Στάθκαν όλ η παρέα κι αγνάντιβαν κι ν ώρα ικείνην φάνγκιν ένα καΐκ να τς;nothern
κουντουζ γών Έριξιν ου καπιτάνους ένα χουντρό φόρτουμα απου μέσα του;nothern
γραπάτσουσιν ένας κι του τσάκουσιν ζ γένα γάντζου Τουν βόητσαν κι οι άλλ ;nothern
έδισαν του καΐκ ώσπου ακούμπσιν σν άκρα κι σταμάτσιν ;nothern
Ύστρα απ ουλίγου βγήκιν ου καπιτάνους όξου πάτσιν στην γής τς;nothern
καλημέρσιν κι ικεί απ στέκουνταν μαζουμέν τς ρώτσιν ;nothern
 Πατριώτες άν δέν έχετε δουλειά μπορείτε να ξεφορτώσετε το καΐκι μου ;nothern
Τήρσιν ου ένας τουν άλλουν γιατι τς ήρθιν ψίχα αναπάντιχου κι ου Μήκας;nothern
ρώτσιν τουν καπιτάνου ;nothern
 Τί πράγματα έχ του καΐκ να του ξιφουρτώσουμι ;nothern
 Έχω φορτωμένες περίπου εκατό μπόμπες γεμάτες κρασί Άλλες με;nothern
τριακόσιες άλλες με διακόσιες οκάδες η μία και λίγες μικρές κατοστάρες Θα τις;nothern
βγάλετε κυλώντας στη στεριά και θα τις φορτώσετε στους αραμπάδες Πείτε μου;nothern
πόσα τάλιρα θέλετε για τον κόπο σας ;nothern
 Τί παράδις κι χαμπάρια μας λές τώρα καπιτάνι τουν είπιν ου Μήκας Τα;nothern
ξιφορτώσουμι τς μπόμπις κι δέ θέλουμι παράδις Τα κάμουμι συμφουνία μι κρασί ;nothern
ουόσου πιούμι ;nothern
Σιάσ τσιν ου καπιτάνους τς τήρσιν όλνους έναν έναν ήταν καμιά εικουσαρά ;nothern
γέλασιν ψίχα κι τς είπιν ;nothern
 Άιντε ρε παλικάρια μπέσα για μπέσα Όπως τα λέτε σείς Εμπρός ξεκινήστε;nothern
κι εγώ κρατώ τον λόγο μου ;nothern
Ιέβαλαν μπρός χίρσαν να γκουργκυλούν τς μπόμπις όξου απ του καΐκ κι να;nothern
τς φουρτών ν στα κάρα Τα κάρα πάιναν ικεί κουντά σι μιά απουθήκ ξιφόρτουναν;nothern
κι γυρνούσαν πάλι Σι κάνα δυό ώρις κόντιψαν να σουθούν οι μπόμπις κι είπιν ου;nothern
Μήκας τουν καπιτάνου ;nothern
 Κράτα μιά κατουστάρα καπιτάνι τώρα απ σώνουμι κι νάνι απ του καλό Να;nothern
κάτσουμι στου καΐκ μι τουν αέρα κι να του πάρουμι διάφουρουν ;nothern
 Καλά ρε λεβέντες θα κρατήσω αυτήν εδώ να καθήσουμε στην κουβέρτα να;nothern
πιούμε κάνα δυό ποτηράκια παρέα κι εγώ μαζί σας κι τς έδειξιν μιά μπόμπα ώς;nothern
 να έρχεται σιγά σιγά προς το μέρος τους ;nothern
 Πέταξε ο καπετάνιος έναν κάβο απο μέσα τον άρπαξε ένας και τον έπιασε σε μιά;nothern
δέστρα ;nothern
 6 ;nothern
ικατόν είκουσ ουκάδις γιουμάτ κι σφραγισμέν Αλλα πάλι δέν τουν ήρθιν καλά κι;nothern
ρουτήθκιν μαναχός τ Πόσο κρασί πίνουν αυτοί και θέλουν να κρατήσω μία;nothern
μπόμπα ;nothern
Φόρτουσαν κι τς άλλις τς μπόμπις στα κάρα βάρισαν οι αραμπατζήδις τ ;nothern
άλουγα κι έφυγαν Μαζώθκιν όλ η παρέα ανέφκαν στου καΐκ ιέκατσαν;nothern
σταυρουπόδ στου πάτουμα κι ου καπιτάνους έβγαλιν καμόσις κούπις κι;nothern
κατουστάρια απου μέσα Τα πήραν όλ στα χέρια τέντουσαν ξάπλωσαν τ ;nothern
μπόμπα ν έβαλαν κι ένα στριφτάρ κι χίρσαν ένας ένας να γιουμώζν τς κούπις κι;nothern
να λέν Σ υγείαν καπιτάνι να πίν κι ου καπιτάνους κι ν απουκρένιτι Γειά σας ;nothern
παιδιά ;nothern
Χίρσαν τα κάχα μπάχα γιόμουζαν τς κούπις αράδα γιλούσαν κι έναν κιρό ου;nothern
καπιτάνους γλέπουντας τ μπόμπα ν αδειάζ τς είπιν ;nothern
 Πολύ κρασί πίνετε βρέ ασίκηδες Πώς τα καταφέρνετε και το κάνετε κουμάντο ;nothern
Άμα τ άκσιν ου Λάζους πιτάθκιν κι τουν είπιν ;nothern
 Άιντι ρα καπιτάνι ιμείς σην Κόζιαν είμιστι οι δεύτιαρ Πού να σι στείλουμι κι;nothern
τς πρώτ ;nothern
Σώθκιν του κρασί άδειασιν η μπόμπα κι ένας ένας κατέφκαν απ του καΐκ ;nothern
πάτσαν στη γής κι αφού χιρέτσαν τουν καπιτάνου κίν τσαν για του κουνάκ ;nothern
πειράζουντας ου ένας τουν άλλουν στουν δρόμου πααίνουντας πότι δώ κι πότι;nothern
 κεί ;nothern
Στάθκιν ου καπιτάνους ουρθός σην κουρφή απ του καΐκ κι είπιν μαναχός τ Τί;nothern
άνθρωποι είν αυτοί Πού το βάλανε τόσο κρασί Δέν ξαναείδα στη ζωή μου τέτοιο;nothern
πράμα ;nothern
Έσουσιν σι μιά βδουμάδα η παρέα στουν Βόλου πήγαν στου Κιλιλέρ για καμιά;nothern
βδουμάδα κι ικεί κι ύστρα ανέφκαν κατα ν Αλασσώνα Θέρσαν κι κάνα δυό μέρις;nothern
στ Χατζηγώγ του χάν κι άμα έσουσαν κίν τσαν για ν Κόζιαν να προυφτάσν να;nothern
θιρίσν κι τα θκά τς ουόσ είχαν ;nothern
Σταμάτσαν ψίχα στ Βίγλα να ξιαπουστάσν έβγαλιν ου Μήκας του τιφτέρ ;nothern
πούχιν γραμμένα τα μιρουκάματα έκαμιν τουν λουγαριασμό μοίρασιν τς παράδις;nothern
στουν καθένα αγνάντιψαν ακόμα μιάφρα τουν κάμπου κι κίν τσαν για τα σπίτια τς ;nothern
 7 ;nothern
Του βράδ ίσια μι ν ώρα σέφκαν σην Κόζιαν Σκρόπσιν η παρέα κι τράβηξιν;nothern
ου καθένας για του σπίτι τ Τς καλουσώρσαν οι σπιτιακοί χάρκαν τοίμασαν οι;nothern
γυναίκις του τραπέζ για φαΐ κι άμα απόφαγαν έκατσαν στου χαϊάτ κι χίρσαν να;nothern
λουγαριάζν πού κι πώς τα δώσν τς παράδις να ξιπέσ ψίχα του χειμουνιάτ κου του;nothern
χρέους ;nothern
Ου Λάζους ήταν ου μκρότιρους απ όλ ν παρέα αλλα ήταν πουλύ δουλιφτάρς κι;nothern
τουν αγαπούσαν ουόλ οι τρανύτιαρ Ήταν ανύπαντρους κι κάθουνταν μι τ μάνα τ ;nothern
 τ Βιτόρια στ Σκΐρκα Τ αδέρφια τ κι οι αδιρφές τ είχαν παντριφτεί κι καθένας;nothern
πήγιν στου σπίτι τ κι αυτός ξιαπόμνιν στου πατρικό μι τ μάνα τ ;nothern
Σάν έφιξιν μι του καλό η μέρα σ κώθκιν ου Λάζους τιριάσ κιν στολίστηκε κι;nothern
είπιν τ μάνα τ ;nothern
 Μάλη μάνα φέρι καμόσα σακιά να κατιβώ στου παζάρ στου Μισκιάθκου ν ;nothern
αγουράσου στιάρ τώρα πόχουμι παράδις χειμώνας έρχιτι δέν ξέρουμι τί μας;nothern
καρτιράει ;nothern
Έβγαλιν καμόσα σακιά η Βιτόρια απ του κιλάρ τάδουκιν τουν Λάζου τουν;nothern
ιφχήθκιν καλά παζάρια τάβαλιν ου Λάζους σν αμπασκάλ κι κίν τσιν ;nothern
Ανταμώθκιν μι ν παρέα τ νέοι ουόλ είπαν τα θκά τς κι έκατσαν στ κυρ Γιώρ τ ;nothern
νταβέρνα να κιραστούν κι να πούν του καλουσώρσις ;nothern
 Βάλι μιά κιρασιά κυρ Γιώρ είπιν ου Λάζους ;nothern
 Βάλι κι μιάν απτιμένα είπιν ου Νάννους ;nothern
Μαζώθκαν καμιά δικαρά Βάλι ου ένας Βάλι ου άλλους ήρθαν στου;nothern
κέφ χίρσαν να τραγδούν Σ κώνιτι ου Νάννους κι τς λέει ;nothern
 Κάτσ τι αυτού ώσπου να γυρήσου ;nothern
Ύστρα απ ουλίγου φτάν ου Νάννους μι τ άργανα χιρνούν κι αυτοί να παίζν κι;nothern
γένιτι ένα γλέντ άλλου πράγμα Ου κυρ Γιώρς δέν πρόφτινιν να γιμώζ τς κούπις ;nothern
τ άργανα να παίζν πότι τουν σκρόπιου πότι μπιράτ κι η παρέα να χουρέβ ;nothern
Τέτοιου γλέντ απ γίνγκιν ταράθκιν του Μισκιάθκου ;nothern
Κατα του σούρουπου λέει ου Λάζους τ άργανα κι ν παρέα ;nothern
 Κέρνα τους όλους απο μένα ;nothern
 Κέρνα τους κι απο μένα ;nothern
 8 ;nothern
 Άιντι τώρα να πάμι όλ αντάμα στου σπίτι μ ν ακούσ κι η μάνα μ τ άργανα ;nothern
να χαρεί κι αυτήν ψίχα ;nothern
Κίν τσαν τ άργανα να παίζν κι αυτοί να χουρέβν Έφτασαν σην Τσιάμπρα ικεί;nothern
απούταν του σπίτ τ Λάζ κατέφκιν τ σκάλα η Βιτόρια τς κέρασιν κρασί μι ν;nothern
κανάτα βάρισαν τ άργανα ένα συρτό χόριψιν κι αυτήν μπρουστά ώσπου;nothern
νύχτουσιν κι έτσ σκρόπσιν του γλέντ ;nothern
Ανέφκιν τ σκάλα για του σπίτ η Βιτόρια μι τουν γιό τς έκατσαν μέσα κι πώς;nothern
έκαμιν ου Λάζους κι κουταλέφκιν δέ βρήκιν στουν τζέπ ούτι μιά δικάρα Έχασιν κι;nothern
τα σακιά στουν δρόμου κι ούτι στιάρ αγόρασιν ούτι καντίπουτα Τουν τσάκουσιν;nothern
ψίχα συλλουή κι η Βιτόρια τουν ρώτσιν ;nothern
 Τί τρέχ μπρέ ;nothern
 Τό κι τό μάρ μάλη έσουσα τς παράδις στ άργανα ;nothern
 Γιρός νάσι μπρέ πιδί μ τα δλέψ κι τα βγάλτς άλλις Χαλάλ του γλέντ απ ;nothern
γίνγκιν ;nothern
Ιέφιξιν η άλλ η μέρα ξύπνησιν πρώτα η Βιτόρια κι ακούει όξου στουν δρόμου ένα;nothern
σαλαβάτ μιά φασαρία μιά ανακατουσιά ήταν πουλλοί γειτόν σην Τσιάμπρα κι;nothern
άλλ καμόσ απου παρέκια κι ουμιλούσαν κι κνούσαν τα χέρια Αφκράσ κιν η;nothern
Βιτόρια αλλα δέ μπουρούσιν να καταλάβ τί ήλιγαν ;nothern
Πάει στουν άλλουν τουν νουντά απ κοιμούνταν ου Λάζους τουν ξυπνάει κι;nothern
τουν λέει ;nothern
 Σήκου μπρέ κι τράβα κατέβα σην Τσιάμπρα είνι πουλλοί μαζουμέν κι;nothern
λαβίζν Δε μπουρώ να καταλάβου τί λέν ;nothern
Σ μαζώθκιν ου Λάζους άνξιν ν πόρτα να κατιβεί απ του σπίτ στουν δρόμου;nothern
κι ρώτσιν αφνούς πούταν μαζουμέν ;nothern
 Τί τρέχ αρα κι λαβίζ τι Κάνας πόλιμους γίνγκιν ;nothern
