article;lang
Αντίς να διά ασήκωννεν τ αγγάθκια του;cypr
ασύναετουν μες τα πατσιά του τζι;cypr
εκαούρωννεν μεσ την γωνιάν του;cypr
 Ο Ζαομούς ήταν μεάλον κόζιν μα ήταν;cypr
πάντα καραμουτσιάρης Εν εγέλαν ποττέ;cypr
του Όποτες του έφεφκεν κανέναν;cypr
γελιούιν οι άλλοι ακολλούσαν του;cypr
μεάλον περιπέξιμον βουράτε να δείται;cypr
τον ζαομούν που κάμνει χάζιν τζαι ούλοι;cypr
εφήρνουνταν που το γέλιον;cypr
 Το γέλιος εγίνην αντροπή Όποτες;cypr
έκαμνεν χάζιν εσήκωννεν τα γγάθκια;cypr
του εσύναεν τα πετσιά του εκαούρωννεν;cypr
τζι εφήρνετουν που το γέλιος μανιχός;cypr
του;cypr
όμορφον Πολλές κατσοσιοιρούδες;cypr
ονοιρεύκουνταν να τον κάμουν ταίριν;cypr
τους μα όποτες εγίνετουν ωραίος για να;cypr
τους αρέσει οι άλλοι εφύρνουνταν που το;cypr
γέλιος;cypr
 Η ομορκιά εγίνην αντροπή τζαι νόμιζεν;cypr
πους ήτουν κακόν πραμαν σαν το;cypr
φίτσιον;cypr
 Μιαν ημέραν ο Ζαομούς εφόρησεν τα καλά;cypr
του μα αντίς να στήσει τ αγκάθκια του;cypr
να συναχτεί μες τα πετσιά του τζαι να;cypr
καουρώσει σαν την μάππαν επήεν εις την;cypr
κολύμπαν Εσιάστην τυχαία την νοσιάν;cypr
του μες το νερόν Πρώτα απόρησεν μα σιγά;cypr
σιγά άννοιεν η καρκιά του φύλλα φύλλα;cypr
Έτσι όπως επαρατήραν την νοσιάν του;cypr
αντιλήφτειν ότι άμαν αφούντωνεν μια;cypr
χαρά μες την καρκιάν του εζαώνναν οι;cypr
τρίσιες του μουστατζιού του τού δεξιού;cypr
Ως που η χαρά αγίνετουν μιάλη περίτου;cypr
το μουστάτζιν του εζάωννεν Έβρισκεν το;cypr
πολλά αστείον τζ επιάχαν τον τα;cypr
χχάχχανα;cypr
 Χά Χά Χα Χά ζαομού στακος;cypr
 Ετο γιατί με χωραττέυκουν;cypr
οι φίλοι μου Τζαι γιώ ενόμιζα ότι με;cypr
ανηελούσαν;cypr
 Ως που εσιέρετουν τζαι έκαμνεν χάζιν;cypr
παραπάνω οι τρίσιες εζαώνναν;cypr
 Η ευκαρίστηση να μοιραστει τζείν την;cypr
χαράν με τους φίλους του ήταν ανιστόρητη;cypr
τζ έκαμνεν το μουστάτζιν του να;cypr
ζαώννει σαν το τζιεγκέλιν Ετραουδήσαν;cypr
εχορέψαν εχωραττέψαν εκάμαν χάζιν σαν;cypr
τα μωρά;cypr
 Που τζείνην την ημέραν ο Ζαομούς;cypr
σιαίρεται να βρίσκει ιδέες έξυπνες ν;cypr
αγαπά τζαι να μισά να γελά να κλαίει;cypr
δίχα να φοάται ότι εν να του ανηελάσουν;cypr
οι άλλοι;cypr
 Έτσι έζησεν μες τον κάμπον τζείνος;cypr
καλά τζαι μεις καλλύττερα;cypr
 Άραγε εμείς τι φοούμαστε για να;cypr
ζήσουμε με τους άλλους;cypr
 Η Λεμονιά;cypr
 Μιάν βολάν τζι έναν τζαιρόν είσιεν;cypr
έναν περβολάριν που τον ελαλούσαν;cypr
Περικλήν Ήταν ο καλλύττερος της;cypr
Μεσαρκάς Αγάπαν πολλά τα δεντρά του τζ;cypr
έσαζεν τα σάν τα παιδκιά του Εμάσιετουν;cypr
με τες ώρες πότισε τσάππισε κλάδεψε;cypr
Ποττέ του έν επαραπονέθηκεν πως ήταν;cypr
ποσταμένος;cypr
 Που ούλλα τα δεντρά αγάπαν παραπάνω;cypr
την λεμονιά του Κάθε μέρα έστεκεν με;cypr
τες ώρες τζ ανάστεννεν την μυρωθκιάν;cypr
των αθθών τζαι των φύλλων της;cypr
 Μιαν ημέραν έτσι σαν την επαρατήραν;cypr
εσιάστηκεν σημάθκια φυλλοκάψας πας τες;cypr
μούττες της Έπιασεν τον τ αλήμονον;cypr
Εχλώμιανεν ετζιτρίνησεν χαζίριν να;cypr
τον πιάσει η συγκοπή που την σικκίρτησην;cypr
 Λεμονιά μου γρουσή μου κόρη;cypr
ίνταν που να γενούμεν αν σε φάει η;cypr
φυλλοκάψα;cypr
 Η Λεμονιά εν εκατάλαβαινεν ίνταν που;cypr
τον έπιαχεν τον μάστρε Περικλήν μα;cypr
εκατάλαβεν πως κάτι σοβαρόν εσυνέβαινεν;cypr
 Αν εκαταλάβισκα πιλέ μου τζ έναν;cypr
κουτσίν την γλώσσαν των πλασμάτων ήσιαν;cypr
να τον αρωτήσω ίνταν που έσιει τζι;cypr
δρώννει τζαι ποδρώννει Άραες σου έκαμα;cypr
κάτι κακόν τζιαι εθυμώθηκεν έτσι;cypr
 Ως που να τελειώσει την σκέψην της;cypr
ενέφανεν ο μάστρε Περικλής με την;cypr
ψεκαστήραν εις στον νόμον Θκιο ππαλιές;cypr
εψέκασεν την που πάνω ως κάτω μ έναν;cypr
ζουμίν τζίτρινον Κάθε σταγόνα που;cypr
εκάθετουν πάνω της εδίαν της τζαι μιαν;cypr
κάψην ίσια μες την καρκιάν Ένωθεν σαν;cypr
να τζ εσβήνναν της τσιάρα πας το;cypr
κορμίν σαν να τζ ελούνναν την με λάδιν;cypr
καυτόν;cypr
 Εθώρεν τες τάτσες τες τζίτρινες της;cypr
ψατζής να ξιμαρίζουν τα φύλλα της τα;cypr
τρυφερά σαν το γάλαν τζι ενεκάτσιαν τον;cypr
ίδιον της τον εαυτόν;cypr
 Μόλις ετέλειωσεν το ψέκασμαν ο μάστρε;cypr
Περικλής επέρασεν του η σικκίρτηση;cypr
Εγέλασεν η μουτσούνα του τζ έφυεν του;cypr
τζαι το χλώμιασμαν Επήεν εις την;cypr
βρύσην έπλυννεν τα σιέρκα του ένυψεν;cypr
τζαι το πρόσωπον του τζ έκατσεν;cypr
άνενιας που κα στον νοσσιόν της;cypr
σικαμιάς;cypr
 Ως που εξεράνισκεν η ψατζιή παραπάνω;cypr
έκρουζεν τη λεμονιάν Επαρακάλεν τον;cypr
θεόν να βρέξει να της πλύννει τα φύλλα;cypr
της που την ξημαρισιάν μα ήταν;cypr
κατακαλότζαιρα τζ ο νήλιος έκρουζεν;cypr
σαν το καμίνιν;cypr
 Που τζείνην την ημέραν η καρκιά της;cypr
λεμονιάς έν ηταν πιον άσπρη σαν τους;cypr
αθθούς της Εμάυρισεν σαν το κάρβουνον;cypr
Ενωθεν πως η ψησιή της εμύριζεν σαν την;cypr
μυρωθκιάν της ψατζιής;cypr
 Εγύριζεν τα μες τον νουν της να;cypr
καταλάβει ίντα ν που ταν τον κακόν που;cypr
έκαμεν για να της αξίζει έτσι τιμωρία;cypr
 Ο μάστρε Περικλής εν καλός;cypr
άδρωπος τζ αγαπά με σαν το παιδίν του;cypr
Για να μου το κάμει τούτον μέγάλον;cypr
κακόν θα είδεν;cypr
 Η λεμονιά αντρέπετουν πιον να;cypr
δικλίσει να δει τον νήλιον μες τα;cypr
μμάθκια τζαι κάθε φοράν που θώρεν τον;cypr
μάστρε Περικλήν εππέφταν της τρείς;cypr
τουζίνες φύλλα που τον φόον της;cypr
 Οι μέλισσες τζαι οι πεταλλούδες εν της;cypr
εκοντέυκαν πιον Ως που τες εθώρεν να;cypr
πααίννουν πας την πορτοκαλιάν τζαι την;cypr
μαντορινιάν ήσιαν να πεθάνει που το;cypr
κάγριν της;cypr
 Ίντα ν που χουν τζείνες;cypr
καλλύττερον που μέναν τζαι βουρούν τες;cypr
ούλα τα πετούμενα του θεού Εμέναν;cypr
κανένας εν δεικλά πιον να με δει;cypr
 Μόνον το αερούδιν του Λίβα της;cypr
εδρώσιζεν την καρκιάν της την καμένην;cypr
Ήταν ο Λίβας που της εστέγνωννεν τζαι τα;cypr
φύλλα της που την νοθκιάν;cypr
 Την νοθκιάν εμίσαν την σαν να τζ;cypr
ήτουν ο σιηρόττερος της σκούντρος Κάθε;cypr
φοράν που της εμούσιεφκέν τα φύλλα της;cypr
με δροσοσταγόνες εξανάφτεν της την;cypr
φωθκιάν που της άναψεν η ψατζιή;cypr
Εξαναδιάλυεν την σκόνην που εκόλλησεν;cypr
πας τα φύλλα τζαι δίαν της την ίδιαν;cypr
κάψην όπως τζείνην που νωσεν την;cypr
ημέραν του ψεκασμάτου Η νοθκιά εν;cypr
εκαταλάβισκεν γιατί η λεμονιά ήταν;cypr
αρκόθυμη μιτά της;cypr
 Σατέ παραξενιάν τζαι πικραντερίαν;cypr
του ν το δεντρόν εσκέφτετουν η νοθκιά;cypr
Ούλα τα δεντρά σιέρουνται που τα;cypr
δροσίζω κάθε αυκήν τζαι τούτη αρκώννεται;cypr
τζαι καραμουτσιάζει;cypr
 Η λεμονιά έφτασεν σε τόσον σημείον;cypr
απόγνωσης που θελεν να ξεράνει Εν;cypr
είσιεν πιον όρεξην ν αθθήσει τζαι τα;cypr
λλία όξινα που κατάφερεν να κάρπίσει;cypr
επογάλαν τζαι ππέσαν;cypr
 Μιαν ημέραν που μάυρισεν ο τζαιρός τζ;cypr
εξίσπασεν μια αναπουμπούρα τρομερή η;cypr
λεμονιά εδίκλισεν ψηλά τζαι που τα βάθη;cypr
της ψυσιής της έυκαλεν έναν αναστεναμόν;cypr
που φτασεν ως τον ουρανόν;cypr
 Ουρανέ μου λυπήθου με τζαι πέψε μου;cypr
έναν κεραυνόν να με ποσπάσει που τα;cypr
βάσανα Ένα αντέχω πιον;cypr
 Αν είσαι σίουρη ότι η μόνη λύτρωση που;cypr
μπορείς να σιεις εν ο κεραυνός να σου;cypr
τον πέψω;cypr
 Η Λεμονιά ήταν ποφασισμένη Προχώρα;cypr
λαλεί του;cypr
 Ο ουρανός εσύναξεν ούλην του την;cypr
μαυρισούραν τζ εξαπόλισεν βροσιήν με;cypr
το ττουλούμιν Ο αέρας εσφύραν σαν τον;cypr
δαιμονισμένον Οι πουμπουρκές εσυγκλίζαν;cypr
τον τόπον τζαι το μόνον φως που εθώρες;cypr
ήταν η λάμψη των αστραπών Ούλη η φύση;cypr
εδείχτηκεν της λεμονιάς για να την;cypr
κάμει ν αλλάξει γνώμην αλλά τζείνη εν;cypr
εφοάτουν τίποτε Ο πόνος τζαι το κάγριν;cypr
έκρουσεν της τόσον πολλά την καρκιάν;cypr
που έν ένοθεν πιον τίποτε;cypr
 Προχώρα ίντα ν που καρτεράς Λαλεί;cypr
του ουρανού;cypr
 Ο ουρανός έσιήσεν που την μερκάν της;cypr
ανατολής τζ εξαπόλυσεν τον μεαλλύττερον;cypr
κεραυνόν που δειξεν ποττέ η πλάση;cypr
Έπεψεν τον ολόισια πας την λεμονιάν Η;cypr
λεμονιά εκάμμησεν τα φύλλα της τζ;cypr
εκαρτέραν να τη νώσει το λαμπρόν;cypr
 Τρείς μήνες ύστερα άμαν άνοιξεν τα;cypr
φύλλα της εν έξερεν καλά καλά αν έζιεν;cypr
γή αν επέθανεν αν ήταν ακόμα πάς την;cypr
γην γή τον κόσμον του σταχτού;cypr
 Ήταν τα φύλλα μιας μούττης νέας που;cypr
βλάστησεν που έναν αμμάτιν πας τον;cypr
κορμόν της Τα παλιά της τα φύλλα τζαι οι;cypr
κλώνοι εκρούσαν που το λαμπρόν του;cypr
κεραυνού μα ο κεραυνός την τελευταίαν;cypr
στιγμήν εδύστασεν τζ εν το κάμεν η;cypr
καρκιά του να την κρούσει ως την ρίζαν;cypr
Άφηκεν της έναν αμμάτιν ανέτζιστον πας;cypr
τον κορμόν;cypr
 Άμαν εξαναείδεν την ζωήν η λεμονιά;cypr
ένωσεν μιαν χαράν ανιστόριτην;cypr
Εσιέρετουν τον νήλιον τζαι τον αέραν;cypr
ένωθεν τες δροσοσταγόνες της νοθκιάς;cypr
πας τα φύλλα της τζαι άννοιεν η καρκιά;cypr
της φύλλα φύλλα;cypr
 Ο Περικλής χαπάριν εν επήρεν για το τι;cypr
εσυνέβην Εσιέρετουν που είδεν την;cypr
λεμονιάν του να ξαναζωντανεύκει Άμαν;cypr
εγέρασεν τζαι εν έμπορεν πιον να σάζει;cypr
τα δεντρά έδωκεν την ψεκαστήραν στον;cypr
γιόν του Ευτυχώς σιγά σιγά με τον;cypr
τζαιρόν πολλοι περβολάριες τζι ο γιός;cypr
του Περικλή εμάθαν να μέν ιψεκάζουν;cypr
αλοάρκαστα Αρώτούσαν πρώτα ίντα καλόν;cypr
τζαι ίντα κακόν κάμνει η κάθε ψατζιή;cypr
πριν να κρίνουν αν πρεπει να ψεκάσουν;cypr
Τζ ήβραν έτσι τζαι τα δεντρά ην ησυχίαν;cypr
τους;cypr
 τζαι ζήσαν τζείνα καλά τζαι μεις;cypr
καλλύττερα;cypr
 Πε μου τείνεις να σκέφτεσαι με;cypr
εικόνες Εν εξηγείται αλλιώς έτσι;cypr
γράψιμο Εθκιάβασα το τζαι έγινα η;cypr
λεμονιά Τα σέβη μου;cypr
 verity devotee θα με κάμεις να κοτσιινήσω;cypr
 Don t θα αναγκαστώ να σε ψεκάσω;cypr
αντισταμινικό spray;cypr
 Αγαπητή Verity Devotee πού θέλεις να ξέρω αν;cypr
γνωριζούμαστεν Για να νοιώσεις την;cypr
Λεμονιά σίγουρα κάπου σε άλλους;cypr
πλανήτες ή σε άλλη διάσταση θα εβρεθήκαμεν;cypr
 Αν ιξέρεις κανέναν Κυπραίον που;cypr
μεινίσκει μόνιμα πας τες Άλπεις εδώ;cypr
τζαι χρόνια ίσως να είμαι εγώ;cypr
 Σε Χαιρετώ;cypr
 Η Νήσος του Πάσχα μεταφραση;cypr
 Προειδοποίηση Το άρθρον τούτον εν;cypr
μεγάλον Έμπατε στον κόπον αν εν κόπος;cypr
να το θκιαβάσετε ως το τέλος Η ιστορία;cypr
μπορεί να σούσει την πίστη σας στην;cypr
αιωνιότηταν του ανθρώπινου πολιτισμού;cypr
Κάθε αμφιβολία για καλόν;cypr
 Η νήσος του Πάσχα εν ένας που τους πιο;cypr
ξικομμένους τζαι ακατοίκητους τόπους;cypr
της υφηλίου Εκατόν εξήντα τετραγωνικά;cypr
χιλιόμετρα πάνω κάτω η έκταση των;cypr
κοτσιινοχωρκών η γη τούτη εκτείνεται;cypr
μες στον Ειρηνικόν ωκεανόν 2500 χιλιόμετρα;cypr
μακριά που την πιο κοντινήν κατοικημένην;cypr
περιοχήν Παρόλον τον εκ πρώτης όψεως;cypr
ασήμαντον χαραχτήραν του νησιού η;cypr
ιστορία του εν μια που τες πιο σοβαρές;cypr
προειδοποιήσεις προς την ανθρωπότηταν;cypr
 Ο Ολλανδός ναύαρχος Roggeveen εν ο πρώτος;cypr
Ευρωπαίος που επάτησεν πόδιν πας το;cypr
Νησίν το Πάσχαν του 1722 Ανακάλυψεν μιαν;cypr
πρωτόγονην κοινωνίαν με τρεις σιιλιάδες;cypr
άτομα να κατοικούν μέσα σε κάτι μίζερες;cypr
καλύφες που καλάμια ή μέσα σε σπήλιους;cypr
 Επιδίδουνταν σε ασταμάτητον πόλεμον;cypr
εξαναγκασμένοι να γίνουνται κανίβαλοι;cypr
για να συμπληρώσουν τες λλιοστές;cypr
διαθέσιμες πηγές διατροφής που τους;cypr
απέμεναν;cypr
 Όταν το 1770 οι Σπανιόλοι επροσαρτήσαν;cypr
το νησίν επίσημα ήβραν το σε τέθκοιαν;cypr
κατάστασην εξαθλίωσης τζαι αναρκοκατοίκησης;cypr
που ποττέ εν το εποίκησαν πραγματικά Οι;cypr
κάτοικοι του ολοέναν τζι ελλιανίσκαν;cypr
τζαι οι συνθήκες ζωής εγίνουνταν ούλον;cypr
τζαι πιο άθλιες Το 1870 οι Περουβιανοί;cypr
εσυνάξαν ούλλους τους κατοίκους τζαι;cypr
εκάμαν τους σκλάβους εκτός που εκατόν;cypr
δέκα γέρους τζαι μωρά που εμείναν;cypr
τζεικάτω να φυτοζωούν Τέλος οι;cypr
Χιλιανοί εβάλαν σιέριν πας το νησίν;cypr
Εκουβαλήσαν σαράντα σιιλιάδες κουέλλες;cypr
τζαι αρνιά τζι εδώκαν τα σε μιαν;cypr
βρετανικήν εταιρίαν να τα εκμεταλλέφκεται;cypr
Τους λλιοστους αυτόχθονες που εζιούσαν;cypr
ακόμα τζει κάτω εστηβάσαν τους σέναν;cypr
τζαι μοναδικόν χωρκούδιν;cypr
 Τζαι όμως μέσα σε ούλλην τούτην την;cypr
εξαθλίωσην τζαι την βαρβαρότηταν οι;cypr
πρώτοι ευρωπαίοι εξερευνητές ήβραν τα;cypr
σημάθκια μιας πολλά αναπτυγμένης;cypr
κοινωνίας που άθθησεν στο παρελθόν;cypr
παντού στο νησίν ήταν διάσπαρτα;cypr
εξακόσια τεράστια πέτρενα αγάλματα;cypr
τουλάχιστον έξη μέτρα ύψος το καθέναν;cypr
Όταν στην αρχήν του εικοστού αιώνα οι;cypr
ανθρωπολόγοι αρκέψαν να μελετούν την;cypr
ιστορίαν τζαι την κουλτούραν της νήσου;cypr
του Πάσχα εσυφφωνούσαν σέναν μόνον;cypr
πράμαν σε καμιάν περίπτωσην τα;cypr
αγάλματα δεν εμπορούσαν να ένει το;cypr
έργον των πρωτόγονων εξαθλιωμένων;cypr
μίζερων τζαι καθυστερημένων αθρώπων;cypr
που ήβραν οι αποικιοκράτες τον δέκατον;cypr
όγδοον αιώναν Έτσι εγεννήθην το;cypr
μυστήριον της Νήσου του Πάσχα;cypr
 Εφκήκαν λοιπόν ένα σωρό θεωρίες για να;cypr
εξηγήσουν το ανεξήγητον Οι πιο τρελλές;cypr
λαλούν ότι εν τα κατάλοιπα την ύπαρξης;cypr
εξωγήινων ή ακόμα ότι εν τα απομεινάρια;cypr
μιας απέραντης γής που εβυθίστην μες;cypr
τον Ειρηνικόν Η πιο σοβαρή θεωρία ήταν;cypr
του Νορβηγού ανθρωπολόγου Thor Heyerdhal που;cypr
υποστήριζεν ότι στα πολλά παλιά τα;cypr
χρόνια ο τόπος εκατοικήθην που;cypr
νοτιοαμερικάνικους λαούς με γλυπτικήν;cypr
κληρονομιάν από τους Ίνκας Σε μιαν;cypr
ύστερην εποχήν ο πολιτισμός τούτος;cypr
εξίππεσεν μετά που συνεχείς επιδρομές;cypr
εποίκων που δυτικούς ινδονησιακούς;cypr
λαούς τζαι ότι ο τόπος εξικληρίστηκεν;cypr
τέλεια σέναν πόλεμον μεταξύ τους;cypr
 χαλόφτες τζαι τους κοντόφτες Η;cypr
θέση τούτη δεν εγίνην ποττέ ομόφωνα;cypr
αποδεχτή;cypr
 Η ιστορία την νήσου του Πάσχα δεν έχει;cypr
να κάμει τίποτε με εξωγήινους ούτε με;cypr
τζαι με μυστήριες επιδρομές Είναι απλά;cypr
έναν δυνατόν μάθημαν για τον τρόπον που;cypr
οι ανθρώπινες κοινωνίες είναι εξαρτημένες;cypr
απο το περιβάλλον που τες συντηρεί τζαι;cypr
για τες δραματικές επιπτώσεις των;cypr
αμετάκλητων ζημιών που του επιβάλλουν;cypr
 Ετην λοιπόν μιαν ιστορίαν ενός λαού;cypr
που μέσα σε συνθήκες δύσκολες εκατάφερεν;cypr
να οικοδομήσει μιαν που τες πιο;cypr
προχωρημένες κοινωνίες της υφηλίου;cypr
επιβάλλοντας όμως ολοέναν τζαι πιο;cypr
αβάσταχτες απαιτήσεις πάς τες φυσικές;cypr
πηγές που εδιέθετεν Όταν οι πηγές εν;cypr
ήταν πιον ικανές να αντέξουν το βάρος ο;cypr
λαμπρός πολιτισμός που εχτίστην;cypr
χαλίτζιν χαλίτζιν για χιλιετηρίδες;cypr
ολόκληρες εσυντρίφτηκεν σαν χάρτινος;cypr
πύργος;cypr
 Ο εποικισμός της νήσου Πάσχα ανήκει;cypr
στην τελευταίαν φάση της βραδείας;cypr
εξάπλωσης του ανθρώπινου γένους πάνω;cypr
στην γην ως τον 5ον αιώναν μ χ Οι;cypr
Πολυνήσιοι που αρκέψαν να πλώνουν που;cypr
το 1000 π χ εφτάσαν στην Νήσον Πάσχα γύρο;cypr
στον 5ον αιώναν μ χ δημιουργώντας έτσι;cypr
τον πιο εξαπλωμένον λαόν του πλανήτη;cypr
που εκτείνεται στο τεράστιον τρίγωνον;cypr
που την Νέαν Ζηλανδίαν μέχρι την Χαβάην;cypr
τζαι που την Χαβάην μέχρι την Νήσο;cypr
Πάσχα θκιο φορές την έχτασην των;cypr
Ηνωμένων Πολιτειών;cypr
 Αυτοί που έφτασαν στην νήσο Πάσχα;cypr
ήβραν πολλά φτωσιές πηγές πλούτου Η γη;cypr
ήταν ηφαιστιογενούς προέλευσης Τα;cypr
ηφαίστεια εσβήσαν τρεις τέσσερις;cypr
αιώνες πριν την άφιξην των μουσσκιερήδων;cypr
Η θερμοκρασία τζαι η υγρασία ήταν ψηλές;cypr
μα παρόλον που η γη ήταν γόνιμη η;cypr
διακλάδωση τζαι η διανομή του νερού;cypr
ήταν δύσκολη Το μόνον νερόν γλυτζίν;cypr
εβρίσκετουν μες τους κρατήρες των;cypr
σβησμένων ηφαιστείων Εντελώς απομονωμένον;cypr
το νησίν με χλωρίδαν είσιεν με πανίδαν;cypr
τριάντα είδη φυτών ούλλα ούλλα κάτι;cypr
λλία έντομα θκιό είδη κουρκουτάες ούτε;cypr
έναν χτηνόν θηλαστικόν Η θάλασσα ήταν;cypr
πάφτωσιη σε ψάριν;cypr
 Η άφιξη του αθρώπου δεν έφερεν τζαι;cypr
τίποτε το καλλύττερον απο πλευράς;cypr
πηγών Τα χτηνά πολυνησιακός σιοίρος;cypr
σιύλλοι ποντίτζιες τζαι οι καλλιέργειες;cypr
που ευδοκιμούσαν στην πατρογονικήν γην;cypr
δεν εκάμναν πας την νέαν πατρίδαν Τα;cypr
μόνα καλλιεργήσιμα ήταν το γέλαρμασιν;cypr
 γλυκοπατάτες τζαι οι όρνιθες Η μόνη;cypr
παριορκά στην μονότονην διατροφήν που;cypr
τους επέβαλεν το μη φιλικόν περιβάλλον;cypr
ήταν το γέλαρμασιν δεν εχρειάζετουν;cypr
τζαι πολύν κυριελέϊσον για να καρπίσει;cypr
τζαι άφηνεν έτσι πολλήν χρόνον για;cypr
κουνουσσμάν;cypr
 Κανένας εν ιξέρει πόσοι ήταν οι πρώτοι;cypr
έποικοι μα μάλλον δεν θα ξεπερνούσαν;cypr
τους 30 Σιγά σιγά επολλήναν τζαι;cypr
εδημιουργήσαν μιαν κοινωνίαν που;cypr
έμοιαζεν πολλά με τζείνην της υπόλοιπης;cypr
Πολυνησίας Μεγάλα γένη που κατέχουν;cypr
τζαι καλλιεργούν από κοινού την γην Οι;cypr
οικογένειες εδημιουργούσαν φατρίες με;cypr
έναν αρχηγόν τζαι η καθεμιά έναν δικόν;cypr
της χώρον λατρείας Ο αρχηγός οργάνωνεν;cypr
τες δραστηριότητες τζαι επέβλεπεν τον;cypr
διαμοιρασμόν της τροφής Ο μεγάλος;cypr
ανταγωνισμός τζαι οι καφκάες μεταξύ των;cypr
φατριών εξηγούν τόσον την άνοδον όσον;cypr
τζαι την τελικήν συντριβήν του μεγάλου;cypr
πολιτισμού της Νήσου Πάσχα;cypr
 Τα χωρκά απλώνουνταν σε ούλλην τη;cypr
έκτασην του νησιού σε μορφήν μικρών;cypr
ομάδων από καλύφες διαμέσου καλλιεργήσιμων;cypr
χωραφκιών Οι κοινωνικές δραστηριότητες;cypr
εγίνουνταν σε χωριστά κέντρα λατρείας;cypr
που εκατοικούνταν για μικρές περιόδους;cypr
του χρόνου Τα κύρια μνημεία ήταν τα;cypr
αχού τεράστιες πέτρινες πλατφόρμες;cypr
παρόμοιες με τζείνες που μπόρουμεν να;cypr
 βρουμεν τζαι σε άλλες περιοχές της;cypr
Πολυνησίας Εχρησιμοποιούνταν για τες;cypr
κηδείες τη λατρείαν των προγόνων για;cypr
τα μνημόσυνα των χαμένων αρχηγών Όπως η;cypr
γεωργική παραγωγή δεν έπαιρνεν τζαι;cypr
πολλή χρόνο τζαι ενέργειαν οι αρχηγοί;cypr
των φατριών είχαν ώραν για να ασχολούνται;cypr
με τα της θρησκείας Αυτή η ιδιαιτερότητα;cypr
οδήγησεν στη δημιουργία της πιο;cypr
αναπτυγμένης πολυνησιακής κοινωνίας;cypr
μιαν που τες πιο πολυσύνθετες στον;cypr
κόσμο λαμβάνοντας υπ όψην τες πολλα;cypr
περιορισμένες πηγές πλούτου που;cypr
εδιέθετεν Οι Πασχαλινοί επερνούσαν τον;cypr
